GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,12 Mar 2006,MF1 Toyota,17,0
Malaysia,19 Mar 2006,MF1 Toyota,13,0
Australia,02 Apr 2006,MF1 Toyota,DNF,0
San Marino,23 Apr 2006,MF1 Toyota,16,0
Europe,07 May 2006,MF1 Toyota,12,0
Spain,14 May 2006,MF1 Toyota,16,0
Monaco,28 May 2006,MF1 Toyota,15,0
Great Britain,11 Jun 2006,MF1 Toyota,16,0
Canada,25 Jun 2006,MF1 Toyota,14,0
United States,02 Jul 2006,MF1 Toyota,DNF,0
France,16 Jul 2006,MF1 Toyota,DNF,0
Hungary,06 Aug 2006,MF1 Toyota,9,0
Turkey,27 Aug 2006,MF1 Toyota,DNF,0
Italy,10 Sep 2006,MF1 Toyota,DNF,0
China,01 Oct 2006,MF1 Toyota,DNF,0
Japan,08 Oct 2006,MF1 Toyota,16,0
Brazil,22 Oct 2006,MF1 Toyota,15,0
