GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,23 Mar 1986,Ferrari,DNF,0
Spain,13 Apr 1986,Ferrari,DNF,0
San Marino,27 Apr 1986,Ferrari,DNF,0
Monaco,11 May 1986,Ferrari,DNF,0
Belgium,25 May 1986,Ferrari,4,3
Canada,15 Jun 1986,Ferrari,8,0
Detroit,22 Jun 1986,Ferrari,4,3
France,06 Jul 1986,Ferrari,8,0
Great Britain,13 Jul 1986,Ferrari,DNF,0
Germany,27 Jul 1986,Ferrari,DNF,0
Hungary,10 Aug 1986,Ferrari,DNF,0
Austria,17 Aug 1986,Ferrari,2,6
Italy,07 Sep 1986,Ferrari,DNF,0
Portugal,21 Sep 1986,Ferrari,5,2
Mexico,12 Oct 1986,Ferrari,DNF,0
Australia,26 Oct 1986,Ferrari,DNF,0
