GRAND PRIX,DATE,CAR,RACE POSITION,PTS
South Africa,03 Mar 1973,Shadow Ford,DNF,0
Spain,29 Apr 1973,Shadow Ford,DNF,0
Belgium,20 May 1973,Shadow Ford,DNF,0
Monaco,03 Jun 1973,Shadow Ford,10,0
Sweden,17 Jun 1973,Shadow Ford,DNF,0
France,01 Jul 1973,Shadow Ford,DNF,0
Great Britain,14 Jul 1973,Shadow Ford,DNF,0
Netherlands,29 Jul 1973,Shadow Ford,DNF,0
Germany,05 Aug 1973,Shadow Ford,8,0
Austria,19 Aug 1973,Shadow Ford,DNF,0
Italy,09 Sep 1973,Shadow Ford,11,0
Canada,23 Sep 1973,Shadow Ford,3,4
United States,07 Oct 1973,Shadow Ford,15,0
