GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,28 Jan 1973,Iso Marlboro Ford,DNC,0
Brazil,11 Feb 1973,Iso Marlboro Ford,7,0
South Africa,03 Mar 1973,Iso Marlboro Ford,10,0
Spain,29 Apr 1973,Iso Marlboro Ford,DNF,0
Belgium,20 May 1973,Iso Marlboro Ford,DNF,0
Monaco,03 Jun 1973,Iso Marlboro Ford,DNF,0
Sweden,17 Jun 1973,Iso Marlboro Ford,11,0
France,01 Jul 1973,Iso Marlboro Ford,14,0
Great Britain,14 Jul 1973,Iso Marlboro Ford,9,0
Netherlands,29 Jul 1973,Iso Marlboro Ford,9,0
Austria,19 Aug 1973,Iso Marlboro Ford,DNC,0
Italy,09 Sep 1973,Iso Marlboro Ford,DNC,0
Canada,23 Sep 1973,Iso Marlboro Ford,6,1
United States,07 Oct 1973,Iso Marlboro Ford,12,0
