GRAND PRIX,DATE,PTS
Bahrain,20 Mar 2022,8
Saudi Arabia,27 Mar 2022,8
Australia,10 Apr 2022,6
Emilia Romagna,24 Apr 2022,0
Miami,08 May 2022,4
Spain,22 May 2022,8
Monaco,29 May 2022,6
Azerbaijan,12 Jun 2022,7
Canada,19 Jun 2022,10
Great Britain,03 Jul 2022,10
Austria,10 Jul 2022,14
France,24 Jul 2022,12
Hungary,31 Jul 2022,6
Belgium,28 Aug 2022,16
Netherlands,04 Sep 2022,10
Italy,11 Sep 2022,0
Singapore,02 Oct 2022,0
Japan,09 Oct 2022,18
United States,23 Oct 2022,6
Mexico,30 Oct 2022,4
Brazil,13 Nov 2022,14
Abu Dhabi,20 Nov 2022,6
