GRAND PRIX,DATE,PTS
Bahrain,20 Mar 2022,4
Saudi Arabia,27 Mar 2022,4
Australia,10 Apr 2022,2
Emilia Romagna,24 Apr 2022,6
Miami,08 May 2022,0
Spain,22 May 2022,1
Monaco,29 May 2022,0
Azerbaijan,12 Jun 2022,10
Canada,19 Jun 2022,0
Great Britain,03 Jul 2022,0
Austria,10 Jul 2022,0
France,24 Jul 2022,0
Hungary,31 Jul 2022,0
Belgium,28 Aug 2022,2
Netherlands,04 Sep 2022,0
Italy,11 Sep 2022,4
Singapore,02 Oct 2022,1
Japan,09 Oct 2022,0
United States,23 Oct 2022,1
Mexico,30 Oct 2022,0
Brazil,13 Nov 2022,0
Abu Dhabi,20 Nov 2022,0
