GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,14 Mar 2010,STR Ferrari,DNF,0
Australia,28 Mar 2010,STR Ferrari,DNF,0
Malaysia,04 Apr 2010,STR Ferrari,11,0
China,18 Apr 2010,STR Ferrari,DNF,0
Spain,09 May 2010,STR Ferrari,DNF,0
Monaco,16 May 2010,STR Ferrari,10,1
Turkey,30 May 2010,STR Ferrari,16,0
Canada,13 Jun 2010,STR Ferrari,8,4
Europe,27 Jun 2010,STR Ferrari,9,2
Great Britain,11 Jul 2010,STR Ferrari,12,0
Germany,25 Jul 2010,STR Ferrari,DNF,0
Hungary,01 Aug 2010,STR Ferrari,12,0
Belgium,29 Aug 2010,STR Ferrari,12,0
Italy,12 Sep 2010,STR Ferrari,11,0
Singapore,26 Sep 2010,STR Ferrari,14,0
Japan,10 Oct 2010,STR Ferrari,10,1
South Korea,24 Oct 2010,STR Ferrari,DNF,0
Brazil,07 Nov 2010,STR Ferrari,13,0
Abu Dhabi,14 Nov 2010,STR Ferrari,15,0
