GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,08 Mar 1998,Jordan Mugen Honda,DNF,0
Brazil,29 Mar 1998,Jordan Mugen Honda,DNF,0
Argentina,12 Apr 1998,Jordan Mugen Honda,DNF,0
San Marino,26 Apr 1998,Jordan Mugen Honda,7,0
Spain,10 May 1998,Jordan Mugen Honda,11,0
Monaco,24 May 1998,Jordan Mugen Honda,DNF,0
Canada,07 Jun 1998,Jordan Mugen Honda,DNF,0
France,28 Jun 1998,Jordan Mugen Honda,16,0
Great Britain,12 Jul 1998,Jordan Mugen Honda,6,1
Austria,26 Jul 1998,Jordan Mugen Honda,5,2
Germany,02 Aug 1998,Jordan Mugen Honda,6,1
Hungary,16 Aug 1998,Jordan Mugen Honda,9,0
Belgium,30 Aug 1998,Jordan Mugen Honda,2,6
Italy,13 Sep 1998,Jordan Mugen Honda,3,4
Luxembourg,27 Sep 1998,Jordan Mugen Honda,DNF,0
Japan,01 Nov 1998,Jordan Mugen Honda,DNF,0
